id,name,lat,lng,icon,url
50,Club Social 911,-34.5943909642046000,-58.4268537167373000,csnueveonce.png,https://www.instagram.com/clubsocial911/?hl=en
51,Fundacion Cazadores,-34.5916536321651000,-58.4463166214346000,fundacioncazadores.png,https://www.instagram.com/fundacioncazadores/?hl=en
52,Museo Historico Nacional,-34.6270092155801000,-58.3705838393878000,mhistoriconacional.png,https://museohistoriconacional.cultura.gob.ar/actividades/
53,Hasta Trilce,-34.6130781728328000,-58.4166150437250000,hastatrilce.jpeg,https://hastatrilce.com.ar/programacion/
54,Niceto Club,-34.5872525616689000,-58.4388021152205000,nicetoclub.png,https://www.passline.com/sitio/nicetotickets
55,Beatflow,-34.5878290844455000,-58.4393604845184000,beatflow.png,https://www.passline.com/sitio/632462-beatflow
56,Saldias,-34.5743583814378000,-58.3986826223555000,pcsaldias.jpeg,https://www.instagram.com/saldiaspolocultural/?hl=en
57,Teatro Sarmiento,-34.5795816397763000,-58.4189059750094000,tsarmiento.png,https://complejoteatral.gob.ar/agenda
58,Teatro Regio,-34.5842049717683000,-58.4458554615171000,tregio.jpeg,https://complejoteatral.gob.ar/agenda
59,Teatro Flores,,,,https://www.teatroflores.com/cartelera.php
